PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,CKDEPI,Regimen
89.145,0,93.35,41.075,2,205,4
82.935,0,99.995,99.725,6,205,4
82.46,0.01,88.725,36.33,7,205,4
82.415,0.01,100,99.975,13,205,4
82.365,0.015,88.7,38.27,14,205,4
92.645,0,92.61,45.38,1,215,4
88.24,0,92.77,39.555,2,215,4
80.87,0,100,99.715,6,215,4
80.93,0,87.545,34.44,7,215,4
80.75,0,100,99.995,13,215,4
80.5,0.01,87.45,36.155,14,215,4
97.155,0.095,93.95,57.255,1,5,5
98.755,0.325,97.845,74.165,2,5,5
99.93,4.78,100,99.99,6,5,5
99.93,6.755,99.92,96.86,7,5,5
100,22.29,100,100,13,5,5
99.995,24.29,99.99,99.695,14,5,5
96.58,0.04,93.43,54.82,1,15,5
98.645,0.09,97.455,70.9,2,15,5
99.86,1.45,100,99.995,6,15,5
99.93,2.265,99.88,94.625,7,15,5
99.99,7.175,100,100,13,15,5
99.99,8.265,99.995,98.875,14,15,5
96.595,0.005,93.375,55.075,1,25,5
98.26,0.05,97.205,69.18,2,25,5
99.835,0.695,100,99.995,6,25,5
99.865,0.99,99.81,91.775,7,25,5
99.96,3.605,100,100,13,25,5
99.97,4.02,99.98,97.015,14,25,5
96.285,0.015,92.87,53.805,1,35,5
98.185,0.025,96.935,66.73,2,35,5
99.74,0.285,100,99.99,6,35,5
99.745,0.43,99.745,88.06,7,35,5
99.89,1.605,100,100,13,35,5
99.86,1.925,99.955,94.075,14,35,5
96.25,0.015,93.14,52.615,1,45,5
97.92,0.01,96.81,64.56,2,45,5
99.45,0.125,100,99.985,6,45,5
99.59,0.29,99.615,84.825,7,45,5
99.665,1.05,100,100,13,45,5
99.635,1.175,99.805,91.09,14,45,5
96.155,0.015,93.02,51.74,1,55,5
97.655,0.01,96.705,62.17,2,55,5
99.105,0.12,100,100,6,55,5
99.235,0.19,99.355,80.695,7,55,5
99.32,0.565,100,100,13,55,5
99.385,0.76,99.615,86.71,14,55,5
95.71,0.015,92.445,50.835,1,65,5
97.17,0.015,96.24,60.42,2,65,5
98.455,0.11,100,99.97,6,65,5
98.795,0.155,98.985,76.335,7,65,5
98.78,0.395,100,100,13,65,5
98.76,0.495,99.26,82.445,14,65,5
95.59,0,92.52,50.465,1,75,5
97.06,0.01,96.105,58.885,2,75,5
98.225,0.055,100,99.985,6,75,5
98.435,0.055,98.805,72.83,7,75,5
98.315,0.24,100,100,13,75,5
98.33,0.245,99.025,78.79,14,75,5
94.97,0.01,91.695,48.63,1,85,5
96.57,0.005,95.48,56.125,2,85,5
97.52,0.045,100,99.99,6,85,5
97.645,0.045,98.22,67.71,7,85,5
97.595,0.18,100,100,13,85,5
97.66,0.19,98.51,73.54,14,85,5
95.21,0,92.51,49.66,1,95,5
96.44,0,95.855,55.925,2,95,5
96.855,0.025,100,99.985,6,95,5
96.885,0.025,97.755,65.33,7,95,5
96.92,0.095,100,100,13,95,5
97.13,0.13,98.005,70.645,14,95,5
95.005,0,91.875,48.65,1,105,5
96.01,0.005,95.205,53.335,2,105,5
95.945,0.02,100,99.975,6,105,5
95.975,0.025,97.21,60.745,7,105,5
95.88,0.12,100,100,13,105,5
96.11,0.12,97.44,65.935,14,105,5
94.745,0.005,91.58,47.545,1,115,5
95.625,0,95.105,51.81,2,115,5
95.245,0.01,100,99.965,6,115,5
95.105,0.01,96.74,57.825,7,115,5
95.105,0.075,100,100,13,115,5
95.105,0.055,97.005,62.455,14,115,5
94.535,0,91.685,47.435,1,125,5
94.88,0,94.78,50.7,2,125,5
94.06,0.005,100,99.97,6,125,5
93.925,0.02,95.73,54.215,7,125,5
93.88,0.06,100,100,13,125,5
93.91,0.08,96.01,58.88,14,125,5
94.91,0,92.095,47.535,1,135,5
95.025,0,94.92,49.35,2,135,5
93.415,0.01,100,99.95,6,135,5
93.205,0.025,95.44,51.43,7,135,5
93.085,0.05,100,100,13,135,5
93.125,0.035,95.54,55.45,14,135,5
94.41,0,92.025,47.915,1,145,5
94.295,0,94.73,48.96,2,145,5
91.945,0.005,100,99.93,6,145,5
92.145,0.005,94.29,49.44,7,145,5
91.895,0.05,100,99.995,13,145,5
91.825,0.035,94.4,53.045,14,145,5
94.56,0,92.01,46.57,1,155,5
93.71,0,94.52,46.87,2,155,5
90.91,0,99.995,99.935,6,155,5
90.565,0,93.585,46.06,7,155,5
90.305,0.025,100,99.995,13,155,5
90.585,0.025,93.585,49.485,14,155,5
94.015,0,91.73,45.43,1,165,5
93.405,0,94.09,45.075,2,165,5
89.84,0,100,99.88,6,165,5
89.8,0,92.495,43.255,7,165,5
89.67,0.01,100,100,13,165,5
89.575,0.01,92.64,46.445,14,165,5
93.88,0,91.445,46.11,1,175,5
92.395,0,93.745,44.37,2,175,5
88.425,0.005,100,99.87,6,175,5
88.075,0,91.485,41.295,7,175,5
88.29,0.02,100,99.995,13,175,5
88.29,0.02,91.555,44.425,14,175,5
93.3,0,91.13,45.075,1,185,5
91.73,0,93.045,42.395,2,185,5
86.75,0.005,100,99.825,6,185,5
86.73,0.005,90.245,38,7,185,5
86.59,0.02,100,100,13,185,5
86.16,0.02,90.305,40.745,14,185,5
93.505,0.005,91.345,44.42,1,195,5
91.18,0.005,93.05,41.375,2,195,5
86.355,0.015,100,99.84,6,195,5
85.775,0.02,89.335,37.145,7,195,5
85.665,0.03,100,99.985,13,195,5
85.53,0.03,89.345,39.805,14,195,5
92.98,0,91.045,43.835,1,205,5
90.94,0,92.6,39.9,2,205,5
85.02,0.01,99.995,99.725,6,205,5
84.855,0.02,88.4,35.02,7,205,5
84.35,0.01,100,99.97,13,205,5
84.33,0.015,88.31,37.55,14,205,5
92.93,0,91.025,43.055,1,215,5
90.05,0,91.99,38.82,2,215,5
83.44,0,100,99.71,6,215,5
83.07,0,87.175,33.455,7,215,5
82.96,0.01,100,99.965,13,215,5
82.865,0.005,87.075,35.535,14,215,5
