Estimates,RSE,Parameters,Model
8.51,34.5,V2,53
8.47,30.6,V2,54
8.6,34.3,V2,55
8.56,33.4,V2,56
8.52,34.6,V2,57
8.38,37.5,V2,58
8.38,33.2,V2,59
8.35,35.1,V2,60
0.389,53.5,CKDEPI,51
0.506,28.3,CKDEPI,52
0.532,43.2,CKDEPI,53
0.65,22.8,CKDEPI,54
0.53,30.4,CKDEPI,55
0.45,65.1,CKDEPI,56
0.731,18.7,CKDEPI,57
0.46,49.1,CKDEPI,58
0.527,26.8,CKDEPI,59
0.481,31.2,CKDEPI,60
0.914,23.1,BW,51
0.923,22.4,BW,52
0.908,24.3,BW,53
0.907,22.2,BW,54
0.913,22,BW,55
0.918,22.3,BW,56
0.892,23.1,BW,57
0.901,23,BW,58
0.907,21.7,BW,59
0.897,23,BW,60
0.277,42.2,IIV_CLcrrt,51
0.279,42.7,IIV_CLcrrt,52
0.287,41.5,IIV_CLcrrt,53
0.286,42,IIV_CLcrrt,54
0.282,42.6,IIV_CLcrrt,55
0.287,41.5,IIV_CLcrrt,56
0.278,43.5,IIV_CLcrrt,57
0.284,41.9,IIV_CLcrrt,58
0.285,41.8,IIV_CLcrrt,59
0.281,42,IIV_CLcrrt,60
0.233,19,IIV_CLr,51
0.231,19.3,IIV_CLr,52
0.21,21,IIV_CLr,53
0.219,20.2,IIV_CLr,54
0.212,20.3,IIV_CLr,55
0.216,21.1,IIV_CLr,56
0.201,21.8,IIV_CLr,57
0.218,20,IIV_CLr,58
0.22,19.5,IIV_CLr,59
0.225,19.3,IIV_CLr,60
0.306,21.3,IIV_V1,51
0.315,21,IIV_V1,52
0.31,20.9,IIV_V1,53
0.314,20.3,IIV_V1,54
0.313,20.8,IIV_V1,55
0.307,20.8,IIV_V1,56
0.316,20.4,IIV_V1,57
0.306,21.2,IIV_V1,58
0.311,20.9,IIV_V1,59
0.308,20.8,IIV_V1,60
0.0279,13.4,PropErr,51
0.0276,13.4,PropErr,52
0.0278,13.6,PropErr,53
0.0274,13.5,PropErr,54
0.0278,13.5,PropErr,55
0.0279,13.4,PropErr,56
0.0271,13.5,PropErr,57
0.0279,13.4,PropErr,58
0.0277,13.4,PropErr,59
0.0278,13.3,PropErr,60
1.57,9.9,CLcrrt,61
1.56,9.9,CLcrrt,62
1.56,10.1,CLcrrt,63
1.57,10.1,CLcrrt,64
1.57,9.9,CLcrrt,65
1.56,10.1,CLcrrt,66
1.55,10.2,CLcrrt,67
1.56,10.1,CLcrrt,68
1.56,10.1,CLcrrt,69
1.56,10.1,CLcrrt,70
0.614,4.9,CLr,61
0.62,5.1,CLr,62
0.626,5.3,CLr,63
0.583,5.3,CLr,64
0.613,4.9,CLr,65
0.605,5.6,CLr,66
0.61,5.4,CLr,67
0.615,5.1,CLr,68
0.615,5.1,CLr,69
0.608,4.9,CLr,70
39.4,7.9,V1,61
39,8,V1,62
39.1,8.3,V1,63
40.4,7.4,V1,64
39.5,8.6,V1,65
39.5,7.3,V1,66
39.6,8.1,V1,67
39.4,8,V1,68
39.6,7.9,V1,69
39.6,7.8,V1,70
12.2,35.1,Q,61
12.1,32.3,Q,62
12.2,36.6,Q,63
11.5,29.3,Q,64
12.2,37,Q,65
12.1,26.5,Q,66
11.9,35,Q,67
12.1,33.6,Q,68
11.8,33.6,Q,69
12,31.9,Q,70
8.34,34.1,V2,61
8.46,34,V2,62
8.48,35.3,V2,63
8.69,31.2,V2,64
8.48,36.3,V2,65
8.51,29.7,V2,66
8.56,33.5,V2,67
8.42,34,V2,68
8.37,33.7,V2,69
8.36,33.5,V2,70
0.566,22.8,CKDEPI,61
0.383,39.7,CKDEPI,62
0.453,58.9,CKDEPI,63
0.827,18,CKDEPI,64
0.522,28.4,CKDEPI,65
0.544,36.6,CKDEPI,66
0.577,31.9,CKDEPI,67
0.493,28,CKDEPI,68
0.54,23.5,CKDEPI,69
0.549,22.8,CKDEPI,70
0.92,21.4,BW,61
0.902,21.8,BW,62
0.91,23.4,BW,63
0.872,23.2,BW,64
0.919,22.1,BW,65
0.904,22.8,BW,66
0.92,22.8,BW,67
0.917,22,BW,68
0.903,21.8,BW,69
0.911,23.9,BW,70
0.277,43,IIV_CLcrrt,61
0.281,42,IIV_CLcrrt,62
0.283,41.7,IIV_CLcrrt,63
0.287,43.2,IIV_CLcrrt,64
0.277,42.6,IIV_CLcrrt,65
0.282,42.6,IIV_CLcrrt,66
0.29,41.4,IIV_CLcrrt,67
0.281,42.3,IIV_CLcrrt,68
0.284,41.9,IIV_CLcrrt,69
0.28,42.5,IIV_CLcrrt,70
0.218,20,IIV_CLr,61
0.224,19.1,IIV_CLr,62
0.224,20.1,IIV_CLr,63
0.219,21.9,IIV_CLr,64
0.217,20.1,IIV_CLr,65
0.217,20,IIV_CLr,66
0.212,20.3,IIV_CLr,67
0.218,19.9,IIV_CLr,68
0.215,20,IIV_CLr,69
0.205,21,IIV_CLr,70
0.313,20.5,IIV_V1,61
0.306,20.9,IIV_V1,62
0.31,21.2,IIV_V1,63
0.321,20.2,IIV_V1,64
0.313,20.9,IIV_V1,65
0.32,20.3,IIV_V1,66
0.315,20.9,IIV_V1,67
0.315,20.8,IIV_V1,68
